trial,element_order,element_index,element_name,s_m,k2l_m2,projection_numerator,contribution_norm_m
1,1,72,sex_08w,42.907498779194889,0.043392432000000002,-4.5302059399795386e-13,1.9135754991664735e-07
1,2,84,sex_09w,52.349828779194887,-0.24198398400000001,-2.5230925375426842e-14,1.4658741438891875e-08
1,3,92,sex_10w,58.855398779194886,-0.052531632000000002,2.1154670375397616e-12,6.616228453597816e-07
1,4,102,sex_11w,67.328070779194888,-0.19752585600000003,-2.7122832332221391e-13,3.9192379045591783e-07
1,5,108,sex_12w,75.264033779194889,0.12366072000000002,2.4606233242334721e-13,1.2318941442829239e-07
1,6,116,sex_13w,83.932825779194886,0.32583968000000002,2.518560719146728e-12,7.5233666953958806e-07
1,7,124,sex_14w,92.133917779194888,-0.0034363392000000001,-1.8428804630454817e-13,6.3332676217558723e-08
1,8,132,sex_15w,102.25810977919488,-0.34508368000000006,-2.7312587692581443e-12,1.6747188326349219e-06
1,9,140,sex_16w,110.46430177919488,0.11048177600000003,-2.0187915120979092e-12,6.1217375910139825e-07
1,10,150,sex_17w,118.66539277919489,-0.125842432,1.0383240024267377e-12,2.9087866966717245e-07
1,11,158,sex_18w,126.86413477919488,0.078568559999999996,-3.7634962509020394e-12,1.2245099357084963e-06
1,12,164,sex_19w,133.52943477919487,-0.21847203200000001,1.2823430791345038e-13,7.0114247275294613e-08
1,13,172,sex_20w,141.73732677919489,0.033388272000000004,-4.4586858483285587e-14,3.7157518589212289e-07
1,14,180,sex_21w,149.93926877919489,-0.23265928000000002,-1.1948184527883673e-13,4.996401579036214e-08
1,15,188,sex_22w,158.14596077919489,0.26101228800000004,-6.4956377084546747e-13,1.5291648375548237e-07
1,16,196,sex_23w,166.3497027791949,-0.52340416000000001,6.0571287740128138e-12,1.4583773444087057e-06
1,17,206,sex_24w,176.55229577919491,0.13662179200000002,4.8203849357120706e-12,3.1176129851317327e-06
1,18,214,sex_25w,184.75808777919491,-0.39794144000000004,-3.216021433257613e-13,2.2639157483909995e-07
1,19,222,sex_26w,192.96452977919492,0.23971496000000006,1.1107668938606497e-12,2.716079233203113e-07
1,20,232,sex_27w,201.39422177919491,-0.40337600000000007,-2.8422608043180941e-12,5.0559072704744497e-07
1,21,240,sex_28w,209.59741377919488,0.14284324800000006,-9.5134744952556446e-12,2.0290402632172013e-06
1,22,250,sex_29w,218.02560577919488,-0.14515660800000002,-5.3153998799188708e-13,2.9886910024795068e-07
1,23,260,sex_30w,227.30979777919487,0.28505872000000004,7.1654553313573244e-13,3.7001933160087277e-07
1,24,268,sex_31w,235.74123977919484,-0.50427440000000001,2.6233045832129504e-11,4.4411471755066937e-06
1,25,276,sex_32w,243.94043177919482,0.30627744000000001,1.3316648619254079e-12,2.0922204070827469e-07
1,26,284,sex_33w,252.37312377919483,-0.49414784,-4.1483118374588792e-12,9.5715133851545703e-07
1,27,292,sex_34w,258.31562377919482,0.17423313600000001,8.7463198765673293e-12,3.0670402723708509e-06
1,28,298,sex_35w,266.24257577919485,-0.16527236800000006,4.5311394203100286e-14,1.3463353407775364e-07
1,29,310,sex_36w,277.21423877919489,0.16991948800000006,4.3349526830076873e-12,7.9810141914885163e-07
1,30,318,sex_37w,285.22943077919496,-0.037644799999999999,-4.4018063724874039e-12,6.1101727474438403e-07
1,31,326,sex_38w,293.43187277919498,0.20518374400000003,4.25246077521274e-12,7.2523254393921083e-07
1,32,334,sex_39w,301.86131477919497,-0.45719936,-3.5552144792570611e-12,1.4009047777835269e-06
